Time,NYISO
2011-07-20 06:00:00-04:00,20261.0
2011-07-20 07:00:00-04:00,22525.0
2011-07-20 08:00:00-04:00,24558.0
2011-07-20 09:00:00-04:00,26369.0
2011-07-20 10:00:00-04:00,27874.0
2011-07-20 11:00:00-04:00,28934.0
2011-07-20 12:00:00-04:00,29735.0
2011-07-20 13:00:00-04:00,30469.0
2011-07-20 14:00:00-04:00,30877.0
2011-07-20 15:00:00-04:00,31112.0
2011-07-20 16:00:00-04:00,31234.0
2011-07-20 17:00:00-04:00,30884.0
2011-07-20 18:00:00-04:00,29888.0
2011-07-20 19:00:00-04:00,28767.0
2011-07-20 20:00:00-04:00,28113.0
2011-07-20 21:00:00-04:00,27836.0
2011-07-20 22:00:00-04:00,26261.0
2011-07-20 23:00:00-04:00,24181.0
2011-07-21 00:00:00-04:00,22323.0
2011-07-21 01:00:00-04:00,21110.0
2011-07-21 02:00:00-04:00,20266.0
2011-07-21 03:00:00-04:00,19817.0
2011-07-21 04:00:00-04:00,19812.0
2011-07-21 05:00:00-04:00,20385.0
2011-07-21 06:00:00-04:00,21778.0
2011-07-21 07:00:00-04:00,23973.0
2011-07-21 08:00:00-04:00,26123.0
2011-07-21 09:00:00-04:00,28193.0
2011-07-21 10:00:00-04:00,29949.0
2011-07-21 11:00:00-04:00,31284.0
2011-07-21 12:00:00-04:00,32159.0
2011-07-21 13:00:00-04:00,32651.0
2011-07-21 14:00:00-04:00,33003.0
2011-07-21 15:00:00-04:00,33269.0
2011-07-21 16:00:00-04:00,33444.0
2011-07-21 17:00:00-04:00,33333.0
2011-07-21 18:00:00-04:00,33001.0
2011-07-21 19:00:00-04:00,32155.0
2011-07-21 20:00:00-04:00,31566.0
2011-07-21 21:00:00-04:00,31365.0
2011-07-21 22:00:00-04:00,29686.0
2011-07-21 23:00:00-04:00,27505.0
2011-07-22 00:00:00-04:00,25549.0
2011-07-22 01:00:00-04:00,24319.0
2011-07-22 02:00:00-04:00,23380.0
2011-07-22 03:00:00-04:00,22707.0
2011-07-22 04:00:00-04:00,22507.0
2011-07-22 05:00:00-04:00,22860.0
2011-07-22 06:00:00-04:00,23911.0
2011-07-22 07:00:00-04:00,26143.0
2011-07-22 08:00:00-04:00,28464.0
2011-07-22 09:00:00-04:00,30698.0
2011-07-22 10:00:00-04:00,32279.0
2011-07-22 11:00:00-04:00,33494.0
2011-07-22 12:00:00-04:00,33776.0
2011-07-22 13:00:00-04:00,33706.0
2011-07-22 14:00:00-04:00,33811.0
2011-07-22 15:00:00-04:00,33870.0
2011-07-22 16:00:00-04:00,33710.0
2011-07-22 17:00:00-04:00,33317.0
2011-07-22 18:00:00-04:00,32866.0
2011-07-22 19:00:00-04:00,32108.0
2011-07-22 20:00:00-04:00,31338.0
2011-07-22 21:00:00-04:00,30698.0
2011-07-22 22:00:00-04:00,28977.0
2011-07-22 23:00:00-04:00,27171.0
2011-07-23 00:00:00-04:00,25161.0
2011-07-23 01:00:00-04:00,23773.0
2011-07-23 02:00:00-04:00,22697.0
2011-07-23 03:00:00-04:00,21990.0
2011-07-23 04:00:00-04:00,21548.0
2011-07-23 05:00:00-04:00,21482.0
2011-07-23 06:00:00-04:00,21538.0
2011-07-23 07:00:00-04:00,22697.0
2011-07-23 08:00:00-04:00,24503.0
2011-07-23 09:00:00-04:00,26396.0
2011-07-23 10:00:00-04:00,27827.0
2011-07-23 11:00:00-04:00,28914.0
2011-07-23 12:00:00-04:00,29529.0
2011-07-23 13:00:00-04:00,29977.0
2011-07-23 14:00:00-04:00,30314.0
2011-07-23 15:00:00-04:00,30332.0
2011-07-23 16:00:00-04:00,30411.0
2011-07-23 17:00:00-04:00,30426.0
2011-07-23 18:00:00-04:00,30174.0
2011-07-23 19:00:00-04:00,29475.0
2011-07-23 20:00:00-04:00,29031.0
2011-07-23 21:00:00-04:00,28935.0
2011-07-23 22:00:00-04:00,27600.0
2011-07-23 23:00:00-04:00,25880.0
2011-07-24 00:00:00-04:00,24260.0
2011-07-24 01:00:00-04:00,23019.0
2011-07-24 02:00:00-04:00,22072.0
2011-07-24 03:00:00-04:00,21416.0
2011-07-24 04:00:00-04:00,20997.0
2011-07-24 05:00:00-04:00,20787.0
2011-07-24 06:00:00-04:00,20693.0
2011-07-24 07:00:00-04:00,21425.0
2011-07-24 08:00:00-04:00,22728.0
2011-07-24 09:00:00-04:00,24050.0
2011-07-24 10:00:00-04:00,25089.0
