Time,RTO
2018-06-20 06:00:00-04:00,85676.298
2018-06-20 07:00:00-04:00,91997.858
2018-06-20 08:00:00-04:00,97116.002
2018-06-20 09:00:00-04:00,101811.192
2018-06-20 10:00:00-04:00,106879.006
2018-06-20 11:00:00-04:00,111944.509
2018-06-20 12:00:00-04:00,115802.906
2018-06-20 13:00:00-04:00,119330.375
2018-06-20 14:00:00-04:00,121726.031
2018-06-20 15:00:00-04:00,122721.908
2018-06-20 16:00:00-04:00,122348.404
2018-06-20 17:00:00-04:00,121096.746
2018-06-20 18:00:00-04:00,118268.883
2018-06-20 19:00:00-04:00,114704.29
2018-06-20 20:00:00-04:00,111512.89
2018-06-20 21:00:00-04:00,107986.17
2018-06-20 22:00:00-04:00,101397.309
2018-06-20 23:00:00-04:00,93371.454
2018-06-21 00:00:00-04:00,86556.709
2018-06-21 01:00:00-04:00,81647.75
2018-06-21 02:00:00-04:00,78380.016
2018-06-21 03:00:00-04:00,76543.563
2018-06-21 04:00:00-04:00,76791.675
2018-06-21 05:00:00-04:00,79887.5
2018-06-21 06:00:00-04:00,84799.009
2018-06-21 07:00:00-04:00,91028.759
2018-06-21 08:00:00-04:00,95554.984
2018-06-21 09:00:00-04:00,99646.688
2018-06-21 10:00:00-04:00,103393.682
2018-06-21 11:00:00-04:00,106284.066
2018-06-21 12:00:00-04:00,108765.137
2018-06-21 13:00:00-04:00,111122.927
2018-06-21 14:00:00-04:00,112733.643
2018-06-21 15:00:00-04:00,113734.918
2018-06-21 16:00:00-04:00,114295.099
2018-06-21 17:00:00-04:00,113824.596
2018-06-21 18:00:00-04:00,111834.279
2018-06-21 19:00:00-04:00,108657.118
2018-06-21 20:00:00-04:00,106155.96
2018-06-21 21:00:00-04:00,104136.19
2018-06-21 22:00:00-04:00,97842.022
2018-06-21 23:00:00-04:00,90567.694
2018-06-22 00:00:00-04:00,83873.593
2018-06-22 01:00:00-04:00,79333.287
2018-06-22 02:00:00-04:00,76518.401
2018-06-22 03:00:00-04:00,75134.551
2018-06-22 04:00:00-04:00,75264.484
2018-06-22 05:00:00-04:00,78107.491
2018-06-22 06:00:00-04:00,82714.295
2018-06-22 07:00:00-04:00,87790.796
2018-06-22 08:00:00-04:00,91963.166
2018-06-22 09:00:00-04:00,94802.056
2018-06-22 10:00:00-04:00,97413.038
2018-06-22 11:00:00-04:00,99258.038
2018-06-22 12:00:00-04:00,100863.174
2018-06-22 13:00:00-04:00,101794.582
2018-06-22 14:00:00-04:00,101715.967
2018-06-22 15:00:00-04:00,101222.965
2018-06-22 16:00:00-04:00,100182.857
2018-06-22 17:00:00-04:00,98828.132
2018-06-22 18:00:00-04:00,96534.727
2018-06-22 19:00:00-04:00,94199.157
2018-06-22 20:00:00-04:00,92604.32
2018-06-22 21:00:00-04:00,91368.604
2018-06-22 22:00:00-04:00,87022.242
2018-06-22 23:00:00-04:00,81023.173
2018-06-23 00:00:00-04:00,75672.29
2018-06-23 01:00:00-04:00,71800.139
2018-06-23 02:00:00-04:00,69304.954
2018-06-23 03:00:00-04:00,67644.193
2018-06-23 04:00:00-04:00,67380.998
2018-06-23 05:00:00-04:00,68296.374
2018-06-23 06:00:00-04:00,69537.673
2018-06-23 07:00:00-04:00,72684.491
2018-06-23 08:00:00-04:00,77476.834
2018-06-23 09:00:00-04:00,81954.2
2018-06-23 10:00:00-04:00,85938.126
2018-06-23 11:00:00-04:00,88722.212
2018-06-23 12:00:00-04:00,90859.943
2018-06-23 13:00:00-04:00,92475.033
2018-06-23 14:00:00-04:00,93968.475
2018-06-23 15:00:00-04:00,95366.96
2018-06-23 16:00:00-04:00,96619.526
2018-06-23 17:00:00-04:00,97708.689
2018-06-23 18:00:00-04:00,97213.671
2018-06-23 19:00:00-04:00,95315.068
2018-06-23 20:00:00-04:00,93220.556
2018-06-23 21:00:00-04:00,92399.496
2018-06-23 22:00:00-04:00,88428.174
2018-06-23 23:00:00-04:00,82754.02
2018-06-24 00:00:00-04:00,77204.861
2018-06-24 01:00:00-04:00,73133.101
2018-06-24 02:00:00-04:00,70294.505
2018-06-24 03:00:00-04:00,68392.008
2018-06-24 04:00:00-04:00,67533.534
2018-06-24 05:00:00-04:00,67435.873
2018-06-24 06:00:00-04:00,67703.564
2018-06-24 07:00:00-04:00,71193.955
2018-06-24 08:00:00-04:00,77375.554
2018-06-24 09:00:00-04:00,84271.138
2018-06-24 10:00:00-04:00,90537.639
2018-06-24 11:00:00-04:00,96594.824
2018-06-24 12:00:00-04:00,101427.031
2018-06-24 13:00:00-04:00,105291.303
2018-06-24 14:00:00-04:00,108025.882
2018-06-24 15:00:00-04:00,110224.668
2018-06-24 16:00:00-04:00,111912.702
2018-06-24 17:00:00-04:00,112956.292
2018-06-24 18:00:00-04:00,111987.393
2018-06-24 19:00:00-04:00,108789.779
2018-06-24 20:00:00-04:00,104496.57
2018-06-24 21:00:00-04:00,101220.348
2018-06-24 22:00:00-04:00,95340.002
2018-06-24 23:00:00-04:00,87690.452
2018-06-25 00:00:00-04:00,81019.706
2018-06-25 01:00:00-04:00,76365.183
2018-06-25 02:00:00-04:00,73406.97
2018-06-25 03:00:00-04:00,71986.401
2018-06-25 04:00:00-04:00,72294.34
2018-06-25 05:00:00-04:00,75120.339
2018-06-25 06:00:00-04:00,80341.539
2018-06-25 07:00:00-04:00,86920.444
2018-06-25 08:00:00-04:00,92145.522
2018-06-25 09:00:00-04:00,96372.203
2018-06-25 10:00:00-04:00,100381.737
2018-06-25 11:00:00-04:00,103691.366
2018-06-25 12:00:00-04:00,106813.912
2018-06-25 13:00:00-04:00,109697.883
2018-06-25 14:00:00-04:00,111557.975
2018-06-25 15:00:00-04:00,113030.368
2018-06-25 16:00:00-04:00,114007.39
2018-06-25 17:00:00-04:00,114082.247
2018-06-25 18:00:00-04:00,112308.643
2018-06-25 19:00:00-04:00,108257.435
2018-06-25 20:00:00-04:00,104318.365
2018-06-25 21:00:00-04:00,101535.112
2018-06-25 22:00:00-04:00,94723.473
2018-06-25 23:00:00-04:00,86541.825
2018-06-26 00:00:00-04:00,79459.188
2018-06-26 01:00:00-04:00,74636.788
2018-06-26 02:00:00-04:00,71816.089
2018-06-26 03:00:00-04:00,70068.318
2018-06-26 04:00:00-04:00,70272.166
2018-06-26 05:00:00-04:00,72926.204
2018-06-26 06:00:00-04:00,77499.484
2018-06-26 07:00:00-04:00,83047.621
2018-06-26 08:00:00-04:00,87671.873
2018-06-26 09:00:00-04:00,91599.843
2018-06-26 10:00:00-04:00,96011.949
2018-06-26 11:00:00-04:00,100039.091
2018-06-26 12:00:00-04:00,103595.808
2018-06-26 13:00:00-04:00,106009.946
2018-06-26 14:00:00-04:00,107353.391
2018-06-26 15:00:00-04:00,109782.4
2018-06-26 16:00:00-04:00,110730.244
2018-06-26 17:00:00-04:00,110321.008
2018-06-26 18:00:00-04:00,108643.714
2018-06-26 19:00:00-04:00,105223.636
2018-06-26 20:00:00-04:00,102352.41
2018-06-26 21:00:00-04:00,100405.463
2018-06-26 22:00:00-04:00,94344.248
2018-06-26 23:00:00-04:00,86869.958
2018-06-27 00:00:00-04:00,80463.05
2018-06-27 01:00:00-04:00,76274.888
2018-06-27 02:00:00-04:00,73477.161
2018-06-27 03:00:00-04:00,71872.595
2018-06-27 04:00:00-04:00,72575.313
2018-06-27 05:00:00-04:00,75818.621
2018-06-27 06:00:00-04:00,81242.134
2018-06-27 07:00:00-04:00,86786.27
2018-06-27 08:00:00-04:00,90920.898
2018-06-27 09:00:00-04:00,94164.108
2018-06-27 10:00:00-04:00,97655.112
